csv_line,row_id,year,macro_period,dynasty_name,polity_name,polity_start_year,polity_end_year,violation,ruler_name,row_granularity
12315,12314,-798,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12368,12367,-797,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12421,12420,-796,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12475,12474,-795,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12528,12527,-794,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12581,12580,-793,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12634,12633,-792,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12687,12686,-791,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12740,12739,-790,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12793,12792,-789,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12846,12845,-788,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12899,12898,-787,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12952,12951,-786,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13005,13004,-785,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13058,13057,-784,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13111,13110,-783,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13164,13163,-782,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13217,13216,-781,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13270,13269,-780,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13323,13322,-779,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13376,13375,-778,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13429,13428,-777,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13482,13481,-776,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13535,13534,-775,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13588,13587,-774,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13640,13639,-773,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13692,13691,-772,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13744,13743,-771,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13796,13795,-770,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13850,13849,-769,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
13904,13903,-768,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
18131,18130,-687,周,周代诸侯国,呂國,-688,-688,after_end,,year_polity
18184,18183,-686,周,周代诸侯国,呂國,-688,-688,after_end,,year_polity
18237,18236,-685,周,周代诸侯国,呂國,-688,-688,after_end,,year_polity
18290,18289,-684,周,周代诸侯国,呂國,-688,-688,after_end,,year_polity
18343,18342,-683,周,周代诸侯国,呂國,-688,-688,after_end,,year_polity
18394,18393,-682,周,周代诸侯国,呂國,-688,-688,after_end,,year_polity
18445,18444,-681,周,周代诸侯国,呂國,-688,-688,after_end,,year_polity
18496,18495,-680,周,周代诸侯国,呂國,-688,-688,after_end,,year_polity
20637,20636,-634,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
20678,20677,-633,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
20719,20718,-632,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
20760,20759,-631,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
20801,20800,-630,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
20842,20841,-629,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
20883,20882,-628,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
20924,20923,-627,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
20965,20964,-626,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21006,21005,-625,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21047,21046,-624,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21088,21087,-623,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21129,21128,-622,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21168,21167,-621,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21207,21206,-620,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21246,21245,-619,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21285,21284,-618,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21325,21324,-617,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21364,21363,-616,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21402,21401,-615,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21440,21439,-614,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21478,21477,-613,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21516,21515,-612,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21554,21553,-611,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21592,21591,-610,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21630,21629,-609,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
21668,21667,-608,周,周代诸侯国,原國,-1046,-635,after_end,,year_polity
